Page,Component / Block,Gutenberg Block(s),Source File,Content Type,Repeating Pattern,ACF Fields Needed,Recommendation,Justification
All Pages (shared),Alert Bar,intt/alert-bar,parts/site-header.html,Dynamic — PHP query,No,—,Stay Gutenberg,Server-side renders active alerta_intt post via PHP; no editor-facing fields; ACF would add no value here
All Pages (shared),Megamenu Trigger,intt/megamenu,parts/site-header.html,Editorial,No,—,Stay Gutenberg,Single triggerLabel attribute already editable in block inspector; purpose-built block
All Pages (shared),Nav Item (Ubicaciones),intt/nav-item,parts/site-header.html,Editorial,No,—,Stay Gutenberg,url + label + icon already exposed as block inspector fields; clean UI without ACF
All Pages (shared),Megamenu Column (×3),intt/megamenu-col,parts/megamenu-panel.html,Editorial,Yes (3 columns),"label (Text); url (URL); links (InnerBlocks: core/list)",Stay Gutenberg,InnerBlocks architecture already gives editors an editable link list per column; ACF Repeater would be equivalent but requires replacing working block infrastructure
Home,Hero Section,core/group + core/heading + core/paragraph + core/buttons,patterns/inicio-hero.php,Editorial — partially hardcoded,No,"background_image (Image); titulo (Text); subtitulo (Textarea); cta_texto (Text); cta_url (URL)",Convert to ACF Block,Background image is an absolute URL baked into block JSON (http://intt-v2.local/…); breaks on domain change. ACF Image field makes it portable. Editors currently must navigate 3 nested groups to change the heading — ACF Block gives a clean single-level form
Home,Tramite Cards — Ciudadanos (×4),core/group[article].intt-tarjeta-tramite × 4,patterns/inicio-tramites-frecuentes.php,Editorial — EMPTY PLACEHOLDERS,Yes — 4 identical structures,"ciudadanos_cards (Repeater): image (Image); titulo (Text); descripcion (Textarea); url (URL)",Convert to ACF Block (Repeater),"All 4 cards contain empty <h3> and <p> placeholder elements baked into pattern markup — editors cannot populate content without navigating deeply nested block structures. An ACF Block with a 4-row Repeater (image / título / descripción / URL) eliminates blank markup and reduces editorial risk"
Home,Tramite Cards — Empresas (×4),core/group[article].intt-tarjeta-tramite × 4,patterns/inicio-tramites-frecuentes.php,Editorial — EMPTY PLACEHOLDERS,Yes — 4 identical structures,"empresas_cards (Repeater): image (Image); titulo (Text); descripcion (Textarea); url (URL)",Convert to ACF Block (Repeater),Same issue as Ciudadanos cards. Both audiences can be sub-groups in the same ACF Block (intt/tramites-frecuentes) or the field group can hold two 4-row Repeaters (one per audience)
Home,Otros Trámites Query (12 posts A–Z),core/query + core/post-template + core/post-title + core/post-excerpt,patterns/inicio-otros-tramites.php,Dynamic — WP_Query,No,—,Stay Gutenberg,Gutenberg Query block fetches tramite CPT natively (postType: tramite; perPage: 12; order: title ASC); zero editorial fields needed
Home,Noticias — Destacada (sticky),core/query (sticky:only) + core/post-featured-image + core/post-title + core/post-excerpt + core/post-date,patterns/inicio-noticias.php,Dynamic — WP_Query,No,—,Stay Gutenberg,Query is driven by the WordPress sticky-post flag; editorial control is via post status not block fields; no ACF conversion value
Home,Noticias — Secundarias (×2 non-sticky),core/query (sticky:exclude) + core/post-featured-image + core/post-title + core/post-date,patterns/inicio-noticias.php,Dynamic — WP_Query,No,—,Stay Gutenberg,Pure query-driven content; same reasoning as destacada
Home,Radio INTT Banner,core/group + core/heading + core/buttons,patterns/inicio-radio.php,Editorial — static,No,"titulo (Text); cta_texto (Text); cta_url (URL)",Stay Gutenberg (low priority),"3 editorial elements in a non-repeating single-use section; pattern editing in Site Editor is sufficient today. Flag for future ACF conversion if the banner gains more fields (e.g., logo, background, body text)"
Hub — Licencias,Sidebar Column (20%),core/column + core/heading,templates/taxonomy-tipo_tramite.html,Static structural,No,—,Stay Gutenberg,Layout wrapper with static label; no editorial fields; pure CSS structure
